model_name,strategy,use_class_weight,sampler,cv_requested_folds,cv_folds_used,cv_best_f1,cv_best_auc,cal_accuracy,cal_precision,cal_recall,cal_f1,cal_auc,cal_logloss,best_params,model_path,selected_reason
AdaBoost,smote,False,smote,50,50,0.6817445623027133,0.8205049180839258,0.7267395713907752,0.5617743891873159,0.8505837596746688,0.6766501434907384,0.8171098076565906,0.5259873107935399,"{""model__learning_rate"": 0.1, ""model__n_estimators"": 250}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\AdaBoost__smote__gridsearch_best.joblib,best_f1
AdaBoost,smote_class_weight,True,smote,50,50,0.6817445623027133,0.8205049180839258,0.7267395713907752,0.5617743891873159,0.8505837596746688,0.6766501434907384,0.8171098076565906,0.5259873107935399,"{""model__learning_rate"": 0.1, ""model__n_estimators"": 250}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\AdaBoost__smote_class_weight__gridsearch_best.joblib,best_auc
CatBoost,class_weight,True,none,50,50,0.6876407620426975,0.826339667189702,0.737146132815945,0.573267501322518,0.8529450347632166,0.6856841550224096,0.821282787808557,0.5077764127731889,"{""model__depth"": 6, ""model__iterations"": 300, ""model__learning_rate"": 0.05}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\CatBoost__class_weight__gridsearch_best.joblib,best_f1
CatBoost,adasyn,False,adasyn,50,50,0.6863308364432109,0.8238576823154418,0.7419525531351971,0.5813504823151125,0.830119375573921,0.6838124054462935,0.81742584679996,0.4912352421353699,"{""model__depth"": 6, ""model__iterations"": 300, ""model__learning_rate"": 0.05}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\CatBoost__adasyn__gridsearch_best.joblib,best_auc
KNN,smote,False,smote,50,50,0.6350752806778912,0.7681441935539165,0.7089249492900609,0.5481621112158341,0.7629542174996721,0.6379641309713158,0.7742726797405098,0.7645302938043882,"{""model__n_neighbors"": 11, ""model__p"": 2, ""model__weights"": ""uniform""}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\KNN__smote__gridsearch_best.joblib,best_f1
KNN,base,False,none,50,50,0.5536302703001499,0.7772057026346549,0.7196842755093041,0.5889794770874333,0.549652367834186,0.5686367646060935,0.7807810602019714,0.6272198033923558,"{""model__n_neighbors"": 11, ""model__p"": 2, ""model__weights"": ""uniform""}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\KNN__base__gridsearch_best.joblib,best_auc
LightGBM,class_weight,True,none,50,50,0.6857744926748657,0.8221762671437073,0.7361760296322427,0.5725535303486109,0.8488783943329398,0.6838573315719947,0.8203841849202799,0.5068064001538547,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 300, ""model__num_leaves"": 31}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\LightGBM__class_weight__gridsearch_best.joblib,best_f1
LightGBM,adasyn_class_weight,True,adasyn,50,50,0.6802478010108906,0.820728111013868,0.7388217655877943,0.577867350677904,0.8274957365866457,0.6805113544419872,0.8166569271366833,0.49347138557708975,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 300, ""model__num_leaves"": 31}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\LightGBM__adasyn_class_weight__gridsearch_best.joblib,best_auc
LogReg,adasyn_class_weight,True,adasyn,50,50,0.6796124826134456,0.8221170579913398,0.7397036775729782,0.581254724111867,0.807031352485898,0.6757840391058384,0.8170247811895105,0.5414718292766635,"{""model__C"": 0.5}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\LogReg__adasyn_class_weight__gridsearch_best.joblib,best_f1
LogReg,class_weight,True,none,50,50,0.6761313685830391,0.8225780090396918,0.7434077079107505,0.5893954410307235,0.7801390528663256,0.6714842206289167,0.817695913444834,0.5312705259187858,"{""model__C"": 1.0}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\LogReg__class_weight__gridsearch_best.joblib,best_auc
