config_key,model_name,sampling,rank,class_weight_applied,params,cv_f1,cv_auc,cv_accuracy,cv_precision,cv_recall,cal_f1,cal_auc,cal_accuracy,cal_precision,cal_recall,model_path
NaiveBayes__baseline,NaiveBayes,baseline,1,False,"{""model__var_smoothing"": 1e-07}",0.5841091615075991,0.6866140779667237,0.6359479975569322,0.5936634405149419,0.5749359294735542,0.5899396378269618,0.6933930476668198,0.6404082629821657,0.5984425045531621,0.5816750091563911,models\NaiveBayes__baseline_rank1.joblib
NaiveBayes__baseline,NaiveBayes,baseline,2,False,"{""model__var_smoothing"": 1e-09}",0.5841091615075991,0.6866140443975265,0.6359479975569322,0.5936634405149419,0.5749359294735542,0.5899396378269618,0.6933930088755064,0.6404082629821657,0.5984425045531621,0.5816750091563911,models\NaiveBayes__baseline_rank2.joblib
NaiveBayes__baseline,NaiveBayes,baseline,3,False,"{""model__var_smoothing"": 1e-08}",0.5841091615075991,0.6866140443975265,0.6359479975569322,0.5936634405149419,0.5749359294735542,0.5899396378269618,0.6933930118594536,0.6404082629821657,0.5984425045531621,0.5816750091563911,models\NaiveBayes__baseline_rank3.joblib
NaiveBayes__class_weight,NaiveBayes,class_weight,1,False,"{""model__var_smoothing"": 1e-07}",0.5841091615075991,0.6866140779667237,0.6359479975569322,0.5936634405149419,0.5749359294735542,0.5899396378269618,0.6933930476668198,0.6404082629821657,0.5984425045531621,0.5816750091563911,models\NaiveBayes__class_weight_rank1.joblib
NaiveBayes__class_weight,NaiveBayes,class_weight,2,False,"{""model__var_smoothing"": 1e-09}",0.5841091615075991,0.6866140443975265,0.6359479975569322,0.5936634405149419,0.5749359294735542,0.5899396378269618,0.6933930088755064,0.6404082629821657,0.5984425045531621,0.5816750091563911,models\NaiveBayes__class_weight_rank2.joblib
NaiveBayes__class_weight,NaiveBayes,class_weight,3,False,"{""model__var_smoothing"": 1e-08}",0.5841091615075991,0.6866140443975265,0.6359479975569322,0.5936634405149419,0.5749359294735542,0.5899396378269618,0.6933930118594536,0.6404082629821657,0.5984425045531621,0.5816750091563911,models\NaiveBayes__class_weight_rank3.joblib
NaiveBayes__smote,NaiveBayes,smote,1,False,"{""model__var_smoothing"": 1e-07}",0.6092634408200424,0.6833837790427678,0.633848122618736,0.5798351752226759,0.6419322787796837,0.6153935285768083,0.6920423356221224,0.6395939086294417,0.5855890622415789,0.6483945794164326,models\NaiveBayes__smote_rank1.joblib
NaiveBayes__smote,NaiveBayes,smote,2,False,"{""model__var_smoothing"": 1e-09}",0.6092634408200424,0.6833837262908318,0.633848122618736,0.5798351752226759,0.6419322787796837,0.6153935285768083,0.692042252071601,0.6395939086294417,0.5855890622415789,0.6483945794164326,models\NaiveBayes__smote_rank2.joblib
NaiveBayes__smote,NaiveBayes,smote,3,False,"{""model__var_smoothing"": 1e-08}",0.6092634408200424,0.6833837256057675,0.633848122618736,0.5798351752226759,0.6419322787796837,0.6153935285768083,0.6920422669913369,0.6395939086294417,0.5855890622415789,0.6483945794164326,models\NaiveBayes__smote_rank3.joblib
NaiveBayes__adasyn,NaiveBayes,adasyn,1,False,"{""model__var_smoothing"": 1e-07}",0.6057948134362912,0.6853531871337106,0.6351510921094727,0.5830797393595845,0.6304086858395996,0.6115552431989224,0.6929410855971093,0.6399196503705312,0.5877188045252434,0.6374069100231962,models\NaiveBayes__adasyn_rank1.joblib
NaiveBayes__adasyn,NaiveBayes,adasyn,2,False,"{""model__var_smoothing"": 1e-08}",0.6057948134362912,0.6853530953319915,0.6351510921094727,0.5830797393595845,0.6304086858395996,0.6115552431989224,0.6929410020465878,0.6399196503705312,0.5877188045252434,0.6374069100231962,models\NaiveBayes__adasyn_rank2.joblib
NaiveBayes__adasyn,NaiveBayes,adasyn,3,False,"{""model__var_smoothing"": 1e-09}",0.6057948134362912,0.6853530912214806,0.6351510921094727,0.5830797393595845,0.6304086858395996,0.6115552431989224,0.6929409871268519,0.6399196503705312,0.5877188045252434,0.6374069100231962,models\NaiveBayes__adasyn_rank3.joblib
NaiveBayes__smote_class_weight,NaiveBayes,smote_class_weight,1,False,"{""model__var_smoothing"": 1e-07}",0.6092634408200424,0.6833837790427678,0.633848122618736,0.5798351752226759,0.6419322787796837,0.6153935285768083,0.6920423356221224,0.6395939086294417,0.5855890622415789,0.6483945794164326,models\NaiveBayes__smote_class_weight_rank1.joblib
NaiveBayes__smote_class_weight,NaiveBayes,smote_class_weight,2,False,"{""model__var_smoothing"": 1e-09}",0.6092634408200424,0.6833837262908318,0.633848122618736,0.5798351752226759,0.6419322787796837,0.6153935285768083,0.692042252071601,0.6395939086294417,0.5855890622415789,0.6483945794164326,models\NaiveBayes__smote_class_weight_rank2.joblib
NaiveBayes__smote_class_weight,NaiveBayes,smote_class_weight,3,False,"{""model__var_smoothing"": 1e-08}",0.6092634408200424,0.6833837256057675,0.633848122618736,0.5798351752226759,0.6419322787796837,0.6153935285768083,0.6920422669913369,0.6395939086294417,0.5855890622415789,0.6483945794164326,models\NaiveBayes__smote_class_weight_rank3.joblib
NaiveBayes__adasyn_class_weight,NaiveBayes,adasyn_class_weight,1,False,"{""model__var_smoothing"": 1e-07}",0.6057948134362912,0.6853531871337106,0.6351510921094727,0.5830797393595845,0.6304086858395996,0.6115552431989224,0.6929410855971093,0.6399196503705312,0.5877188045252434,0.6374069100231962,models\NaiveBayes__adasyn_class_weight_rank1.joblib
NaiveBayes__adasyn_class_weight,NaiveBayes,adasyn_class_weight,2,False,"{""model__var_smoothing"": 1e-08}",0.6057948134362912,0.6853530953319915,0.6351510921094727,0.5830797393595845,0.6304086858395996,0.6115552431989224,0.6929410020465878,0.6399196503705312,0.5877188045252434,0.6374069100231962,models\NaiveBayes__adasyn_class_weight_rank2.joblib
NaiveBayes__adasyn_class_weight,NaiveBayes,adasyn_class_weight,3,False,"{""model__var_smoothing"": 1e-09}",0.6057948134362912,0.6853530912214806,0.6351510921094727,0.5830797393595845,0.6304086858395996,0.6115552431989224,0.6929409871268519,0.6399196503705312,0.5877188045252434,0.6374069100231962,models\NaiveBayes__adasyn_class_weight_rank3.joblib
kNN__baseline,kNN,baseline,1,False,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.5610807436703907,0.6723086214877779,0.6254777070063694,0.5858922639046084,0.5382986593763139,0.5670493210799122,0.6772872299885118,0.630418849588751,0.5918353800199138,0.5442558906116469,models\kNN__baseline_rank1.joblib
kNN__baseline,kNN,baseline,2,False,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.5605833533268817,0.6728646819278927,0.6256347613646279,0.586360500841839,0.5369906636625528,0.5672125934170774,0.6777587503401028,0.6305817204592958,0.5920467370377747,0.5443779758271273,models\kNN__baseline_rank2.joblib
kNN__baseline,kNN,baseline,3,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.5600100346000139,0.6719462645228109,0.6254718901782856,0.5863261132412856,0.5359834540201325,0.5667281868516515,0.6797835166601858,0.6303917044436602,0.59193033767615,0.5435844219265047,models\kNN__baseline_rank3.joblib
kNN__class_weight,kNN,class_weight,1,False,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.5610807436703907,0.6723086214877779,0.6254777070063694,0.5858922639046084,0.5382986593763139,0.5670493210799122,0.6772872299885118,0.630418849588751,0.5918353800199138,0.5442558906116469,models\kNN__class_weight_rank1.joblib
kNN__class_weight,kNN,class_weight,2,False,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.5605833533268817,0.6728646819278927,0.6256347613646279,0.586360500841839,0.5369906636625528,0.5672125934170774,0.6777587503401028,0.6305817204592958,0.5920467370377747,0.5443779758271273,models\kNN__class_weight_rank2.joblib
kNN__class_weight,kNN,class_weight,3,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.5600100346000139,0.6719462645228109,0.6254718901782856,0.5863261132412856,0.5359834540201325,0.5667281868516515,0.6797835166601858,0.6303917044436602,0.59193033767615,0.5435844219265047,models\kNN__class_weight_rank3.joblib
kNN__smote,kNN,smote,1,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.61514938583586,0.6655734714308851,0.6149841491434721,0.5537064094780545,0.6919374751148838,0.6224522983521249,0.6740063039584561,0.6218681288851489,0.5597640635663449,0.7009522646807471,models\kNN__smote_rank1.joblib
kNN__smote,kNN,smote,2,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.6146373104931098,0.6657479480989995,0.6148445452694646,0.5536737401642858,0.6906948773476269,0.620738289620006,0.6740313959704072,0.6204294361953364,0.5585493239615366,0.698510560371139,models\kNN__smote_rank2.joblib
