config_key,model_name,sampling,rank,class_weight_applied,params,cv_f1,cv_auc,cv_accuracy,cv_precision,cv_recall,cal_f1,cal_auc,cal_accuracy,cal_precision,cal_recall,model_path
NaiveBayes__baseline,NaiveBayes,baseline,1,False,"{""model__var_smoothing"": 1e-07}",0.4707392176764509,0.7616353653631928,0.6928593521618404,0.5593936783592792,0.4063695562779156,0.4755789956432011,0.764738382314863,0.6974734335729088,0.5698845942480307,0.4080535152151102,models_knn_2015_clinical_dietary_only\NaiveBayes__baseline_rank1.joblib
NaiveBayes__baseline,NaiveBayes,baseline,2,False,"{""model__var_smoothing"": 1e-08}",0.4707392176764509,0.761635322350116,0.6928593521618404,0.5593936783592792,0.4063695562779156,0.4755789956432011,0.7647381949988902,0.6974734335729088,0.5698845942480307,0.4080535152151102,models_knn_2015_clinical_dietary_only\NaiveBayes__baseline_rank2.joblib
NaiveBayes__baseline,NaiveBayes,baseline,3,False,"{""model__var_smoothing"": 1e-09}",0.4707392176764509,0.7616352913425453,0.6928593521618404,0.5593936783592792,0.4063695562779156,0.4755789956432011,0.7647381862865194,0.6974734335729088,0.5698845942480307,0.4080535152151102,models_knn_2015_clinical_dietary_only\NaiveBayes__baseline_rank3.joblib
NaiveBayes__class_weight,NaiveBayes,class_weight,1,False,"{""model__var_smoothing"": 1e-07}",0.4707392176764509,0.7616353653631928,0.6928593521618404,0.5593936783592792,0.4063695562779156,0.4755789956432011,0.764738382314863,0.6974734335729088,0.5698845942480307,0.4080535152151102,models_knn_2015_clinical_dietary_only\NaiveBayes__class_weight_rank1.joblib
NaiveBayes__class_weight,NaiveBayes,class_weight,2,False,"{""model__var_smoothing"": 1e-08}",0.4707392176764509,0.761635322350116,0.6928593521618404,0.5593936783592792,0.4063695562779156,0.4755789956432011,0.7647381949988902,0.6974734335729088,0.5698845942480307,0.4080535152151102,models_knn_2015_clinical_dietary_only\NaiveBayes__class_weight_rank2.joblib
NaiveBayes__class_weight,NaiveBayes,class_weight,3,False,"{""model__var_smoothing"": 1e-09}",0.4707392176764509,0.7616352913425453,0.6928593521618404,0.5593936783592792,0.4063695562779156,0.4755789956432011,0.7647381862865194,0.6974734335729088,0.5698845942480307,0.4080535152151102,models_knn_2015_clinical_dietary_only\NaiveBayes__class_weight_rank3.joblib
NaiveBayes__smote,NaiveBayes,smote,1,False,"{""model__var_smoothing"": 1e-07}",0.5591703997642455,0.7642974284003385,0.7101510773423556,0.5720546448780446,0.5468574258043695,0.5523358158429248,0.7669354636357838,0.7084527536487499,0.5708088441085922,0.5350209863588667,models_knn_2015_clinical_dietary_only\NaiveBayes__smote_rank1.joblib
NaiveBayes__smote,NaiveBayes,smote,2,False,"{""model__var_smoothing"": 1e-08}",0.5591703997642455,0.7642973183745585,0.7101510773423556,0.5720546448780446,0.5468574258043695,0.5523358158429248,0.7669353677997046,0.7084527536487499,0.5708088441085922,0.5350209863588667,models_knn_2015_clinical_dietary_only\NaiveBayes__smote_rank2.joblib
NaiveBayes__smote,NaiveBayes,smote,3,False,"{""model__var_smoothing"": 1e-09}",0.5591703997642455,0.7642973163738751,0.7101510773423556,0.5720546448780446,0.5468574258043695,0.5523358158429248,0.7669353765120756,0.7084527536487499,0.5708088441085922,0.5350209863588667,models_knn_2015_clinical_dietary_only\NaiveBayes__smote_rank3.joblib
NaiveBayes__adasyn,NaiveBayes,adasyn,1,False,"{""model__var_smoothing"": 1e-07}",0.5416668381919758,0.7636766613194409,0.7032060293853997,0.563223265785431,0.521728268070094,0.5393443749570477,0.7658620777680161,0.7044402310507518,0.566478995236033,0.5146904512067156,models_knn_2015_clinical_dietary_only\NaiveBayes__adasyn_rank1.joblib
NaiveBayes__adasyn,NaiveBayes,adasyn,2,False,"{""model__var_smoothing"": 1e-08}",0.5416668381919758,0.7636765842989629,0.7032060293853997,0.563223265785431,0.521728268070094,0.5393443749570477,0.7658619950004931,0.7044402310507518,0.566478995236033,0.5146904512067156,models_knn_2015_clinical_dietary_only\NaiveBayes__adasyn_rank2.joblib
NaiveBayes__adasyn,NaiveBayes,adasyn,3,False,"{""model__var_smoothing"": 1e-09}",0.5416668381919758,0.7636765832988319,0.7032060293853997,0.563223265785431,0.521728268070094,0.5393443749570477,0.7658619906443077,0.7044402310507518,0.566478995236033,0.5146904512067156,models_knn_2015_clinical_dietary_only\NaiveBayes__adasyn_rank3.joblib
NaiveBayes__smote_class_weight,NaiveBayes,smote_class_weight,1,False,"{""model__var_smoothing"": 1e-07}",0.5591703997642455,0.7642974284003385,0.7101510773423556,0.5720546448780446,0.5468574258043695,0.5523358158429248,0.7669354636357838,0.7084527536487499,0.5708088441085922,0.5350209863588667,models_knn_2015_clinical_dietary_only\NaiveBayes__smote_class_weight_rank1.joblib
NaiveBayes__smote_class_weight,NaiveBayes,smote_class_weight,2,False,"{""model__var_smoothing"": 1e-08}",0.5591703997642455,0.7642973183745585,0.7101510773423556,0.5720546448780446,0.5468574258043695,0.5523358158429248,0.7669353677997046,0.7084527536487499,0.5708088441085922,0.5350209863588667,models_knn_2015_clinical_dietary_only\NaiveBayes__smote_class_weight_rank2.joblib
NaiveBayes__smote_class_weight,NaiveBayes,smote_class_weight,3,False,"{""model__var_smoothing"": 1e-09}",0.5591703997642455,0.7642973163738751,0.7101510773423556,0.5720546448780446,0.5468574258043695,0.5523358158429248,0.7669353765120756,0.7084527536487499,0.5708088441085922,0.5350209863588667,models_knn_2015_clinical_dietary_only\NaiveBayes__smote_class_weight_rank3.joblib
NaiveBayes__adasyn_class_weight,NaiveBayes,adasyn_class_weight,1,False,"{""model__var_smoothing"": 1e-07}",0.5416668381919758,0.7636766613194409,0.7032060293853997,0.563223265785431,0.521728268070094,0.5393443749570477,0.7658620777680161,0.7044402310507518,0.566478995236033,0.5146904512067156,models_knn_2015_clinical_dietary_only\NaiveBayes__adasyn_class_weight_rank1.joblib
NaiveBayes__adasyn_class_weight,NaiveBayes,adasyn_class_weight,2,False,"{""model__var_smoothing"": 1e-08}",0.5416668381919758,0.7636765842989629,0.7032060293853997,0.563223265785431,0.521728268070094,0.5393443749570477,0.7658619950004931,0.7044402310507518,0.566478995236033,0.5146904512067156,models_knn_2015_clinical_dietary_only\NaiveBayes__adasyn_class_weight_rank2.joblib
NaiveBayes__adasyn_class_weight,NaiveBayes,adasyn_class_weight,3,False,"{""model__var_smoothing"": 1e-09}",0.5416668381919758,0.7636765832988319,0.7032060293853997,0.563223265785431,0.521728268070094,0.5393443749570477,0.7658619906443077,0.7044402310507518,0.566478995236033,0.5146904512067156,models_knn_2015_clinical_dietary_only\NaiveBayes__adasyn_class_weight_rank3.joblib
kNN__baseline,kNN,baseline,1,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.5931132566493836,0.7974913456691431,0.7343311673873871,0.611243405812868,0.5760345002620958,0.5948531393155484,0.7994233455991899,0.7348207592927378,0.6114958448753463,0.5790923399790137,models_knn_2015_clinical_dietary_only\kNN__baseline_rank1.joblib
kNN__baseline,kNN,baseline,2,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 13, ""model__weights"": ""uniform""}",0.5905123287904914,0.7950485169846453,0.7325547379480362,0.6083774283870621,0.573673263896707,0.5930028366878293,0.7972554420081945,0.734291635433661,0.6112503480924534,0.575813221406086,models_knn_2015_clinical_dietary_only\kNN__baseline_rank2.joblib
kNN__baseline,kNN,baseline,3,False,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.5881258904296647,0.7987145695399286,0.7345673912824059,0.6146882654921383,0.5637790107670618,0.590591270110651,0.8001219165612761,0.7340711671590459,0.6120726044744618,0.5705666316894019,models_knn_2015_clinical_dietary_only\kNN__baseline_rank3.joblib
kNN__class_weight,kNN,class_weight,1,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.5931132566493836,0.7974913456691431,0.7343311673873871,0.611243405812868,0.5760345002620958,0.5948531393155484,0.7994233455991899,0.7348207592927378,0.6114958448753463,0.5790923399790137,models_knn_2015_clinical_dietary_only\kNN__class_weight_rank1.joblib
kNN__class_weight,kNN,class_weight,2,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 13, ""model__weights"": ""uniform""}",0.5905123287904914,0.7950485169846453,0.7325547379480362,0.6083774283870621,0.573673263896707,0.5930028366878293,0.7972554420081945,0.734291635433661,0.6112503480924534,0.575813221406086,models_knn_2015_clinical_dietary_only\kNN__class_weight_rank2.joblib
kNN__class_weight,kNN,class_weight,3,False,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.5881258904296647,0.7987145695399286,0.7345673912824059,0.6146882654921383,0.5637790107670618,0.590591270110651,0.8001219165612761,0.7340711671590459,0.6120726044744618,0.5705666316894019,models_knn_2015_clinical_dietary_only\kNN__class_weight_rank3.joblib
kNN__smote,kNN,smote,1,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.6526368031215226,0.789754460675462,0.7118330040100244,0.5486523273628767,0.8052902390147885,0.6563562925170068,0.7935895333758729,0.7148904272675162,0.5517333809864189,0.8099422875131165,models_knn_2015_clinical_dietary_only\kNN__smote_rank1.joblib
