scaler_key,scaler,model,strategy,calibration_method,base_accuracy,base_recall,base_f1,base_auc,calibrated_accuracy,calibrated_precision,calibrated_recall,calibrated_f1,calibrated_auc,calibrated_logloss,calibration_fit_seconds,best_params
standardization,Standardization,AdaBoost,base,sigmoid,0.7474259761448068,0.7361448153735161,0.662104766399245,0.8050135358825209,0.7435015543356042,0.5911867144515673,0.7681511116941038,0.668149922984768,0.8054100695081503,0.48353036397263344,31.15268910001032,"{""learning_rate"": 0.03, ""n_estimators"": 100}"
standardization,Standardization,AdaBoost,class_weight,sigmoid,0.7474259761448068,0.7361448153735161,0.662104766399245,0.8050135358825209,0.7435015543356042,0.5911867144515673,0.7681511116941038,0.668149922984768,0.8054100695081503,0.48353036397263344,31.887521800003015,"{""learning_rate"": 0.03, ""n_estimators"": 100}"
max_absolute_scaling,Max-Absolute,CatBoost,base,sigmoid,0.75553938752563,0.7042041057257166,0.6594803758982863,0.8249894197653138,0.7550763939413982,0.6243389423076923,0.6813799435954614,0.6516135102079217,0.8250293359319973,0.47438921256305044,7.953291399986483,"{""depth"": 3, ""iterations"": 250, ""learning_rate"": 0.03}"
min_max_scaling,Min-Max,CatBoost,base,sigmoid,0.7556716714068391,0.708926346166459,0.6611009174311927,0.8248008869426693,0.7550763939413982,0.6251966598087861,0.6776415032465403,0.650363516192994,0.824853374795902,0.4746573393395307,5.11050960002467,"{""depth"": 3, ""iterations"": 150, ""learning_rate"": 0.03}"
max_absolute_scaling,Max-Absolute,LightGBM,base,sigmoid,0.7537535551293075,0.6647209287072867,0.6447406087979898,0.8235848836725278,0.7541504067729348,0.630912810023012,0.647340460418443,0.6390210740992522,0.8236192573188224,0.47662036249346923,3.6525007999734953,"{""learning_rate"": 0.05, ""max_depth"": 1, ""n_estimators"": 250, ""num_leaves"": 2}"
robust_scaling,Robust,LightGBM,base,sigmoid,0.7533126088586106,0.6769200498458713,0.6484873236781754,0.8229557460732347,0.7534669400533545,0.6279186858833155,0.6543582344067685,0.640865878725591,0.8230350131544732,0.47633647514229716,2.5356286999885924,"{""learning_rate"": 0.05, ""max_depth"": 1, ""n_estimators"": 150, ""num_leaves"": 2}"
min_max_scaling,Min-Max,LogReg,smote_class_weight,sigmoid,0.7478448751019688,0.7817931396340264,0.675794426963744,0.8210093760625023,0.7478669224155037,0.5950895753281101,0.7821210729979668,0.6759054582553987,0.8209984369635074,0.5270475317723027,0.5550433999742381,"{""C"": 1.0}"
min_max_scaling,Min-Max,LogReg,smote,sigmoid,0.7478448751019688,0.7817931396340264,0.675794426963744,0.8210093760625023,0.7478448751019688,0.5950788580555001,0.7819898996523906,0.6758495592778392,0.8209900747171829,0.5270486848033744,0.5920399000169709,"{""C"": 1.0}"
min_max_scaling,Min-Max,NaiveBayes,base,sigmoid,0.736380272063849,0.6481275004919,0.623057280665805,0.7916120744563608,0.7277156778446546,0.61061473844979,0.5244310356135633,0.5642509350081152,0.7960259464449856,0.5237373282706007,0.206518099992536,"{""var_smoothing"": 1e-09}"
min_max_scaling,Min-Max,NaiveBayes,class_weight,sigmoid,0.736380272063849,0.6481275004919,0.623057280665805,0.7916120744563608,0.7277156778446546,0.61061473844979,0.5244310356135633,0.5642509350081152,0.7960259464449856,0.5237373282706007,0.20973540004342794,"{""var_smoothing"": 1e-09}"
standardization,Standardization,RandomForest,smote,sigmoid,0.700354961747911,0.7787105660129862,0.635991108016177,0.776667168677356,0.6996714950283308,0.5371666437948859,0.7701842985505345,0.632909345693651,0.7775015091360536,0.551579476207543,11.464661000005435,"{""max_depth"": 1, ""max_leaf_nodes"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
standardization,Standardization,RandomForest,smote_class_weight,sigmoid,0.7000242520448884,0.7790384993769266,0.635833199507521,0.7766375947731234,0.6995833057741914,0.5370615940372216,0.7703154718961107,0.6328806983511154,0.7774700771968862,0.5516105844206785,15.12602699996205,"{""max_depth"": 1, ""max_leaf_nodes"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
min_max_scaling,Min-Max,XGBoost,base,sigmoid,0.7550984412549331,0.7266347478192431,0.6660854926952444,0.8248950956307491,0.7551866305090724,0.618527207186588,0.7089919328392471,0.660677178828994,0.8249185367127554,0.4733627858016582,4.73025940003572,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 150, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
robust_scaling,Robust,XGBoost,base,sigmoid,0.7550763939413982,0.7289958680396144,0.6667866462701341,0.8251476424401056,0.7550543466278634,0.6208447742010866,0.6969895717190266,0.6567173402546039,0.8253161921296994,0.47341103496565995,4.6662655000109226,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 150, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
