strategy,model,threshold,cal_accuracy,cal_recall,cal_f1,test_accuracy,test_recall,test_f1,test_precision,test_auc,test_min_acc_rec_f1,meets_0_90_all,n_features,blend_members,blend_weights
S20_grand_mega_blend,grand_dirichlet_10k,0.525,,,,0.6963340122199593,0.7248797056326068,0.6960657742746483,0.6694549732061168,0.7662810478536105,0.6960657742746483,False,37,"['S1_highcol_interactions', 'S2_transform_copies', 'S3_domain_aggregates', 'S5_combined_top2_features', 'S6_lowcol_interactions', 'S7_pairwise_top20_products', 'S8_mutual_info_k15', 'S8_mutual_info_k20', 'S8_mutual_info_k25', 'S8_mutual_info_k30', 'S8_mutual_info_k35', 'S8_mutual_info_k37', 'S9a_L1_C0.01', 'S9a_L1_C0.05', 'S9a_L1_C0.1', 'S9a_L1_C0.5', 'S9b_RF_importance_k15', 'S9b_RF_importance_k20', 'S9b_RF_importance_k25', 'S9b_RF_importance_k30', 'S10_robust_scaler', 'S11_minmax_scaler', 'S12_no_outlier_clipping', 'S13_wide_IQR_3x_clipping', 'S13b_wide_IQR_5x_clipping', 'S14_median_imputation', 'S15_mean_imputation', 'S15b_MICE_imputation', 'S16_medical_ratios', 'S17_binning_indicators', 'S18_PCA_n10', 'S18_PCA_n15', 'S18_PCA_n20', 'S19a_SMOTE_baseline', 'S19b_ADASYN_baseline', 'S19c_SMOTE_S2features', 'S19d_SMOTE_S16features']","{'S1_highcol_interactions': 0.12547015484407564, 'S2_transform_copies': 0.0065216407437799105, 'S3_domain_aggregates': 0.026204429004606213, 'S5_combined_top2_features': 0.028238033232722635, 'S6_lowcol_interactions': 0.02490054314096002, 'S7_pairwise_top20_products': 0.007393525251854775, 'S8_mutual_info_k15': 0.013135642408626087, 'S8_mutual_info_k20': 0.004711213659170246, 'S8_mutual_info_k25': 0.003324614426682331, 'S8_mutual_info_k30': 0.023057532343538238, 'S8_mutual_info_k35': 0.008082743592776052, 'S8_mutual_info_k37': 0.05525394632137429, 'S9a_L1_C0.01': 0.013455650068441925, 'S9a_L1_C0.05': 0.023373751932524427, 'S9a_L1_C0.1': 0.03212629799595603, 'S9a_L1_C0.5': 0.0014222725502006418, 'S9b_RF_importance_k15': 0.0032196929661919282, 'S9b_RF_importance_k20': 0.008394368127846621, 'S9b_RF_importance_k25': 0.008803029220681973, 'S9b_RF_importance_k30': 0.003236103398293602, 'S10_robust_scaler': 0.011171067298320323, 'S11_minmax_scaler': 0.006471632739355389, 'S12_no_outlier_clipping': 0.030566131331280156, 'S13_wide_IQR_3x_clipping': 0.01471298756966102, 'S13b_wide_IQR_5x_clipping': 0.04016768666803626, 'S14_median_imputation': 0.1376752568259939, 'S15_mean_imputation': 0.0006893162164799882, 'S15b_MICE_imputation': 0.03390211120145162, 'S16_medical_ratios': 0.02372563906978141, 'S17_binning_indicators': 0.06778681997574096, 'S18_PCA_n10': 0.02017879768733017, 'S18_PCA_n15': 0.01959453833907276, 'S18_PCA_n20': 0.0073282182959689395, 'S19a_SMOTE_baseline': 0.025246069969616765, 'S19b_ADASYN_baseline': 0.0020648154010102153, 'S19c_SMOTE_S2features': 0.06584777398451278, 'S19d_SMOTE_S16features': 0.0725459521960839}"
S18_PCA_n20,CAT_bal,0.525,0.6928038017651053,0.7230399094254175,0.6930746795089194,0.6959266802443992,0.7275686385508067,0.6965652733554637,0.6680961663417804,0.7652363755512446,0.6959266802443992,False,57,,
S19d_SMOTE_S16features,CAT_bal,0.515,0.6939579090291921,0.7255873195584489,0.6946213250237095,0.6958587915818059,0.7272855929804699,0.6964358314134707,0.6680967238689548,0.7654385588725923,0.6958587915818059,False,43,,
S13_wide_IQR_3x_clipping,CAT_bal,0.515,0.6937542430414121,0.7405887347863006,0.698804834078921,0.6955872369314324,0.7418624398528163,0.7004275788348476,0.6633763604150847,0.7651503982433447,0.6955872369314324,False,29,,
S11_minmax_scaler,XGB_bal,0.495,0.6922606924643585,0.7701669968864987,0.7059739248881105,0.694908350305499,0.7703085196716671,0.7078023407022107,0.6546788549434689,0.7643048439201634,0.694908350305499,False,29,,
S9a_L1_C0.1,XGB_bal,0.525,0.6934147997284453,0.72459666006227,0.6939550013553809,0.6948404616429056,0.7244551372771016,0.6949025996063259,0.6676666231902961,0.7643646919560103,0.6948404616429056,False,32,,
S6_lowcol_interactions,CAT_bal,0.515,0.6918533604887984,0.740730257571469,0.6975411474645166,0.6948404616429056,0.7418624398528163,0.6999132118298952,0.6624541893087325,0.7646735159459837,0.6948404616429056,False,73,,
S10_robust_scaler,XGB_bal,0.51,0.6913102511880516,0.7454005094820266,0.6984947947748823,0.6947725729803123,0.748938579111237,0.7018567639257295,0.6603443973047167,0.7636439487634336,0.6947725729803123,False,29,,
S5_combined_top2_features,CAT_bal,0.525,0.6923964697895452,0.7240305689215963,0.6930840615051141,0.6947046843177189,0.7261534106991225,0.6953045599295345,0.6669699727024567,0.7651332988045313,0.6947046843177189,False,88,,
S9a_L1_C0.5,CAT_bal,0.515,0.6938221317040054,0.7427115765638268,0.6994535519125683,0.6945010183299389,0.7442683272006793,0.7003595685177787,0.6613430583501007,0.7652629480052968,0.6945010183299389,False,34,,
S14_median_imputation,XGB_bal,0.495,0.6921249151391717,0.76648740447212,0.7048870957246046,0.6943652410047522,0.7741296348712142,0.7084574536977075,0.6530563514804203,0.7648275863215126,0.6943652410047522,False,29,,
S4_probability_blend,blend_dirichlet_search,0.515,,,,0.6942294636795655,0.7427115765638268,0.6997333333333333,0.6614570204184522,0.76550627338893,0.6942294636795655,False,37,"['S1_highcol_interactions', 'S2_transform_copies', 'S3_domain_aggregates']","{'S1_highcol_interactions': 0.44968500036540143, 'S2_transform_copies': 0.5315595977823262, 'S3_domain_aggregates': 0.018755401852272428}"
S9a_L1_C0.01,CAT_bal,0.525,0.6922606924643585,0.7247381828474384,0.6931979695431472,0.6938900203665987,0.7247381828474384,0.6943258084197681,0.666363044892648,0.765349220767863,0.6938900203665987,False,15,,
S19b_ADASYN_baseline,CAT_bal,0.52,0.6936863543788188,0.7346447778092273,0.6970592184772392,0.6938900203665987,0.7340786866685536,0.6970368877242491,0.6635537930152232,0.7653090389332431,0.6938900203665987,False,37,,
S2_transform_copies,CAT_bal,0.515,0.693550577053632,0.7441268044155109,0.6996673320026613,0.6938900203665987,0.7428530993489952,0.6995402145665356,0.6609998740712757,0.765381960838075,0.6938900203665987,False,82,,
S8_mutual_info_k37,CAT_bal,0.52,0.6936863543788188,0.7346447778092273,0.6970592184772392,0.6938900203665987,0.7340786866685536,0.6970368877242491,0.6635537930152232,0.7653090389332431,0.6938900203665987,False,37,,
S17_binning_indicators,CAT_bal,0.515,0.6937542430414121,0.7429946221341636,0.6994870428352542,0.6938900203665987,0.7451174639116898,0.7001795332136446,0.6603536937162925,0.7649928655084448,0.6938900203665987,False,69,,
S15b_MICE_imputation,CAT_bal,0.52,0.6940257976917855,0.7345032550240589,0.6972526365285148,0.6938221317040054,0.7336541183130484,0.6968678585831429,0.663594470046083,0.7654833756522902,0.6938221317040054,False,29,,
S12_no_outlier_clipping,CAT_bal,0.525,0.6944331296673456,0.7295499575431644,0.6961042468435622,0.6938221317040054,0.729408434757996,0.6956404373059792,0.6648606811145511,0.7651484962539303,0.6938221317040054,False,29,,
S9a_L1_C0.05,CAT_bal,0.51,0.6947725729803123,0.7513444664590999,0.7025274579859733,0.6937542430414121,0.7507783753184263,0.7016731697639045,0.6585971446306642,0.7654330006316821,0.6937542430414121,False,30,,
S13b_wide_IQR_5x_clipping,CAT_bal,0.515,0.6967413441955194,0.7454005094820266,0.702219852009866,0.693550577053632,0.7424285309934899,0.6991869918699187,0.660705289672544,0.7657520732053937,0.693550577053632,False,29,,
S19a_SMOTE_baseline,CAT_bal,0.505,0.693346911065852,0.7418624398528163,0.6988867408839411,0.693550577053632,0.7437022360600056,0.6995473908413206,0.6603417944207087,0.7652505019774781,0.693550577053632,False,37,,
S18_PCA_n15,XGB_bal,0.515,0.6929395790902919,0.7363430512312482,0.6970326210730793,0.6934826883910387,0.7364845740164166,0.6974468940561549,0.6623393152602775,0.7652902498630569,0.6934826883910387,False,52,,
S16_medical_ratios,XGB_bal,0.52,0.6942973523421588,0.7330880271723748,0.6970329004911525,0.6934147997284453,0.7298330031135013,0.6954821308159137,0.6642194744976816,0.7636818962221394,0.6934147997284453,False,43,,
S8_mutual_info_k30,CAT_bal,0.525,0.6926001357773252,0.72459666006227,0.6933911159263272,0.693346911065852,0.7234644777809227,0.6935757411301812,0.6660586319218241,0.7647923810514287,0.693346911065852,False,30,,
S1_highcol_interactions,CAT_bal,0.52,0.6930753564154786,0.7349278233795641,0.6967196619038036,0.693346911065852,0.7336541183130484,0.6965401410816258,0.6630003836807776,0.7647884847430165,0.693346911065852,False,43,,
S3_domain_aggregates,CAT_bal,0.5,0.6926001357773252,0.7659213133314464,0.7050547159979156,0.693346911065852,0.7649306538352675,0.7052913159783388,0.6542791429609006,0.765403547494633,0.693346911065852,False,42,,
