config_key,model_name,sampling,rank,cal_f1,cal_auc,cal_accuracy,cal_precision,cal_recall,cv_f1,cv_auc,model_path,params
XGBoost__smote_class_weight,XGBoost,smote_class_weight,2,0.6771611783424136,0.7280480717712348,0.6364722169439996,0.5595617529880478,0.8573434257111464,0.6705008889013684,0.7209213887427004,models\XGBoost__smote_class_weight_rank2.joblib,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.01, ""model__max_depth"": 6, ""model__n_estimators"": 100, ""model__scale_pos_weight"": 1.2486658295401036, ""model__subsample"": 1.0}"
XGBoost__smote_class_weight,XGBoost,smote_class_weight,1,0.6762111352133044,0.7284860077971613,0.635332120850186,0.558706388402103,0.856305701379563,0.6708133153727593,0.721231408305084,models\XGBoost__smote_class_weight_rank1.joblib,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.01, ""model__max_depth"": 6, ""model__n_estimators"": 100, ""model__scale_pos_weight"": 1.2486658295401036, ""model__subsample"": 0.8}"
XGBoost__smote_class_weight,XGBoost,smote_class_weight,3,0.6753893159865957,0.7296910584596016,0.642389858573794,0.5662755144202959,0.8365889390794775,0.6698706478480523,0.7219082306734709,models\XGBoost__smote_class_weight_rank3.joblib,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.01, ""model__max_depth"": 10, ""model__n_estimators"": 100, ""model__scale_pos_weight"": 1.2486658295401036, ""model__subsample"": 0.8}"
XGBoost__adasyn_class_weight,XGBoost,adasyn_class_weight,1,0.6753464103763136,0.7286710110311934,0.6419283911072504,0.5657965276918636,0.8375045781955806,0.6694970489771247,0.7215097286907071,models\XGBoost__adasyn_class_weight_rank1.joblib,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.01, ""model__max_depth"": 6, ""model__n_estimators"": 100, ""model__scale_pos_weight"": 1.2486658295401036, ""model__subsample"": 1.0}"
XGBoost__adasyn_class_weight,XGBoost,adasyn_class_weight,2,0.675041257173822,0.7289646433708359,0.6418741008170689,0.565842176983111,0.8364668538639971,0.6693787004979469,0.7218621265731158,models\XGBoost__adasyn_class_weight_rank2.joblib,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.01, ""model__max_depth"": 6, ""model__n_estimators"": 100, ""model__scale_pos_weight"": 1.2486658295401036, ""model__subsample"": 0.8}"
XGBoost__adasyn_class_weight,XGBoost,adasyn_class_weight,3,0.6737838654446571,0.7307466476830333,0.6483075002035886,0.5734121882231936,0.8167500915639117,0.6680508469750308,0.7226893647619398,models\XGBoost__adasyn_class_weight_rank3.joblib,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.01, ""model__max_depth"": 10, ""model__n_estimators"": 100, ""model__scale_pos_weight"": 1.2486658295401036, ""model__subsample"": 0.8}"
CatBoost__smote_class_weight,CatBoost,smote_class_weight,3,0.6724186058314513,0.7311281512996339,0.6495833220228562,0.5754180238870793,0.8087535099499451,0.6669772843327656,0.7231586766194937,models\CatBoost__smote_class_weight_rank3.joblib,"{""model__class_weights"": [1.0, 1.2486658295401036], ""model__depth"": 4, ""model__iterations"": 500, ""model__l2_leaf_reg"": 7, ""model__learning_rate"": 0.01}"
CatBoost__smote_class_weight,CatBoost,smote_class_weight,2,0.6722006447846064,0.7311354992695984,0.6494747414424931,0.5753769936117509,0.8082041264802833,0.6669948825446935,0.7231746529816572,models\CatBoost__smote_class_weight_rank2.joblib,"{""model__class_weights"": [1.0, 1.2486658295401036], ""model__depth"": 4, ""model__iterations"": 500, ""model__l2_leaf_reg"": 5, ""model__learning_rate"": 0.01}"
CatBoost__smote_class_weight,CatBoost,smote_class_weight,1,0.6721840014216446,0.7311375387975053,0.6494747414424931,0.5753835455691251,0.8081430838725431,0.667061068951189,0.7231471203565364,models\CatBoost__smote_class_weight_rank1.joblib,"{""model__class_weights"": [1.0, 1.2486658295401036], ""model__depth"": 4, ""model__iterations"": 500, ""model__l2_leaf_reg"": 3, ""model__learning_rate"": 0.01}"
CatBoost__adasyn_class_weight,CatBoost,adasyn_class_weight,3,0.671512669567443,0.7314644690038815,0.6516192079046662,0.578191114245416,0.8007569283359786,0.6660426930665554,0.7233825728703835,models\CatBoost__adasyn_class_weight_rank3.joblib,"{""model__class_weights"": [1.0, 1.2486658295401036], ""model__depth"": 4, ""model__iterations"": 500, ""model__l2_leaf_reg"": 9, ""model__learning_rate"": 0.01}"
